答案代號,問題,代號
LQA-6-1,我要買1號餐2份，3份9號餐,1
LQA-6-2,我要三份11號餐飲料兩杯豆漿一杯豆漿紅茶,1
LQA-6-3,你好，我想訂一個招牌三明治，明天早上8:00左右去拿，謝謝,1
LQA-6-4,你好，我想訂一個香蔥蛋椒鹽燒肉吐司，明天早上8:00左右去拿，謝謝,1
LQA-6-5,我要烤土司一半奶酥一半花生，伯爵紅茶,1
LQA-6-6,5個招牌8:30拿,1
LQA-6-7,豬排蛋吐司三個 司蛋吐司一個,1
LQA-6-8,您好 我想要一份豬排蛋吐司加小黃瓜、招牌三明治1份，奶茶去冰，溫豆漿一杯 微糖,1
LQA-6-9,椒鹽蔥蛋餅*1丹麥小黃瓜蛋吐司*1(不要美乃滋)謝謝！內用哦,1
LQA-6-10,再一片白吐司 不用加東西,1
LQA-6-11,豆漿紅茶-熱*1鮪魚玉米土司*1 司蔬菜蛋餅*1薯豬排丹麥吐司*1豬排蛋餅*1(不要美乃滋)待會到~外帶哦 ！謝謝??,1
LQA-6-12,我想要花生+奶酥吐司,1
LQA-6-13,您好，我想預約餐點自取里肌豬排三明治*2鮪魚玉米蛋吐司*1花生培根蛋吐司*1紅茶中杯*1以上  OK? ,1
LQA-6-14,玉米 司蛋吐司，不要美奶滋，跟伯爵紅茶熱微糖等等內用,1
LQA-6-15,我要一個餐包跟伯爵紅茶大杯熱的等等拿,1
LQA-6-16,我要餐包，濃湯，跟伯爵紅等等過去內用,1
LQA-6-17,我要雞塊餐包跟伯爵紅茶大杯微糖微冰,1
LQA-6-18,我要一個5號一個8號套餐，飲料是冰豆漿跟冰紅茶一個11號餐，飲料冰紅茶一個薯泥 司蛋餅一個薯泥火腿蛋丹麥吐司,1
LQA-6-19,我要一個燒肉雞蛋丹麥吐司+薯泥 司蛋餅+小杯紅茶鮮奶（溫，如果可以調甜度就半糖） 等等過去拿∼謝謝,1
