答案代號,問題,代號
LQA-0-1,[Mask]喜得,0
LQA-1-1,[Mask]用語,0
LQA-2-1,你們加盟[Mask]多少,0
LQA-3-1,[Mask]有活動嗎,0
LQA-3-2,有哪些[Mask]呢？,0
LQA-4-1,請問[Mask]菜單嗎？,0
LQA-4-2,[Mask]有素食的嗎？,0
LQA-4-3,[Mask]換飲料嗎？,0
LQA-4-4,一號餐有什麼[Mask],0
LQA-4-5,[Mask]賣現成三明治嗎,0
LQA-4-6,你們用哪間廠牌[Mask]咖啡豆,0
LQA-4-7,你們[Mask]咖啡？,0
LQA-4-8,有推薦[Mask]餐點嗎？,0
LQA-4-9,[Mask]不吃牛肉,0
LQA-4-10,請問你們豬肉來源[Mask],0
LQA-4-11,[Mask]三明治 有小黃瓜嗎？,0
LQA-4-12,我不喜歡[Mask],0
LQA-4-13,還有[Mask]濃湯嗎？,0
LQA-4-14,可以加 [Mask]嗎？,0
LQA-4-15,可以[Mask]加洋蔥嗎？,0
LQA-4-16,有兒童餐嗎[Mask],0
LQA-4-17,有[Mask]土司嗎,0
LQA-4-18,你們有賣午餐[Mask]？,0
LQA-4-19,[Mask]什麼口味,0
LQA-4-20,可以多加一顆荷包蛋[Mask],0
LQA-4-21,可以加蛋[Mask],0
LQA-4-22,你們套餐有哪些[Mask],0
LQA-4-24,有英文菜單嗎[Mask],0
LQA-4-25,請問[Mask]牛肉來源？,0
LQA-4-26,可以不要灑[Mask]嗎？,0
LQA-4-27,我的土司[Mask]換丹麥,0
LQA-4-28,[Mask]有水煮蛋嗎？,0
LQA-4-29,你們奶茶是放鮮奶[Mask]奶精,0
LQA-4-30,三明治有哪些[Mask],0
LQA-4-31,漢堡有哪些[Mask],0
LQA-4-32,土司跟三明治差在[Mask],0
LQA-4-33,土司有哪些[Mask],0
LQA-4-34,蛋餅有哪些[Mask],0
LQA-4-35,你們用哪家[Mask],0
LQA-4-36,[Mask]有哪幾種口味,0
LQA-4-36,有什麼飲料[Mask],0
LQA-4-37,有無糖的飲料[Mask]？,0
LQA-4-38,飲料[Mask]可以調整嗎？,0
LQA-4-38,[Mask]可以做熱的嗎？,0
LQA-4-39,飲料可以做大杯[Mask]嗎？,0
LQA-4-40,[Mask]有什麼？,0
LQA-4-41,[Mask]有什麼？,0
LQA-4-42,四號餐有什麼[Mask],0
LQA-4-43,[Mask]有什麼？,0
LQA-4-44,六號餐[Mask]？,0
LQA-4-45,[Mask]有什麼？,0
LQA-4-46,八號餐[Mask]？,0
LQA-4-47,九號餐[Mask]？,0
LQA-4-48,十號餐[Mask]？,0
LQA-4-49,十一號餐[Mask]？,0
LQA-4-50,[Mask]有什麼？,0
LQA-4-51,十三號餐有什麼[Mask],0
LQA-4-52,十四號餐[Mask]？,0
LQA-4-53,[Mask]有什麼？,0
LQA-4-54,十六號餐有什麼[Mask],0
LQA-4-55,十七號餐[Mask]？,0
LQA-4-56,[Mask]有什麼？,0
LQA-4-57,十九號餐有什麼[Mask],0
LQA-4-58,[Mask]雞肉濃湯嗎？,0
LQA-4-59,有烏龍湯[Mask]嗎？,0
LQA-4-60,鮮奶[Mask],0
LQA-4-61,有小點心[Mask]？,0
LQA-4-62,請問[Mask]是什麼？,0
LQA-4-63,DiDi卡三明治是[Mask]？,0
LQA-4-64,[Mask]DiDi卡是什麼？,0
LQA-4-65,[Mask]招牌三明治,0
LQA-4-66,[Mask]香濃 養三明治,0
LQA-4-67,介紹花生薯餅[Mask],0
LQA-4-68,介紹菜脯雞肉[Mask],0
LQA-4-69,介紹肉鬆蔥花[Mask]司三明治,0
LQA-4-70,介紹特級[Mask]三明治,0
LQA-4-71,介紹里肌豬[Mask]三明治,0
LQA-4-72,介紹香酥[Mask]三明治,0
LQA-4-73,介紹 [Mask]薯泥鮪魚蛋三明治,0
LQA-4-74,介紹花生豬排[Mask]蛋三明治,0
LQA-4-75,[Mask]菜脯蔥蛋土司,0
LQA-4-76,[Mask]香濃 司玉米蛋土司,0
LQA-4-77,介紹薯泥[Mask]土司,0
LQA-4-78,介紹[Mask]薯泥土司,0
LQA-4-79,[Mask]火腿薯餅蛋土司,0
LQA-4-80,[Mask]雙倍香濃 司蛋土司,0
LQA-4-81,介紹香蔥蛋椒[Mask]肉蛋土司,0
LQA-4-82,介紹花枝[Mask]土司,0
LQA-4-83,介紹薯泥沙拉[Mask]土司,0
LQA-4-84,介紹[Mask]土司,0
LQA-4-85,丹麥鮮蔬[Mask],0
LQA-4-86,[Mask]雞蛋堡,0
LQA-4-87,[Mask]烤 司三明治,0
LQA-4-88,[Mask]火腿雞蛋堡,0
LQA-4-89,介紹[Mask]雞肉堡,0
LQA-4-90,介紹[Mask]雞蛋堡,0
LQA-4-91,介紹香蔥蛋椒鹽[Mask],0
LQA-4-92,[Mask]黃金炸豬 司堡,0
LQA-4-93,介紹香[Mask]辣雞腿堡,0
LQA-4-94,[Mask]脆皮雞腿堡,0
LQA-4-95,介紹泰式[Mask]雞腿堡,0
LQA-4-96,[Mask]花生醬 司牛肉堡,0
LQA-4-97,介紹培根牛肉 [Mask],0
LQA-4-98,介紹牛肉[Mask],0
LQA-4-99,[Mask]菜脯蔥蛋刈包,0
LQA-4-100,介紹[Mask]丼刈包,0
LQA-4-101,介紹[Mask]丼刈包,0
LQA-4-102,介紹原味[Mask],0
LQA-4-103,介紹菜脯蔥[Mask],0
LQA-4-104,介紹火腿蛋[Mask],0
LQA-4-105,介紹[Mask]蛋餅,0
LQA-4-106,介紹 [Mask],0
LQA-4-107,介紹泰式辣鬆蛋[Mask],0
LQA-4-108,介紹特級[Mask]蛋餅,0
LQA-4-109,介紹[Mask]金薯餅蛋餅,0
LQA-4-110,介紹薯泥 [Mask],0
LQA-4-111,介紹豬排[Mask],0
LQA-4-112,介紹[Mask]拌麵,0
LQA-4-113,[Mask]椒麻拌麵,0
LQA-4-114,介紹沙茶[Mask]拌麵,0
LQA-4-115,[Mask]椒麻燒肉拌麵,0
LQA-4-116,[Mask]豬肉丼拌麵,0
LQA-4-117,[Mask]牛肉丼拌麵,0
LQA-4-118,介紹[Mask]麵,0
LQA-5-1,請問你們 [Mask],0
LQA-5-2,好停車嗎[Mask],0
LQA-5-3,內用[Mask]位置嗎？,0
LQA-5-4,[Mask]你們地址在哪裡?,0
LQA-5-5,[Mask]電話幾號？,0
LQA-5-6,有[Mask]兒童椅嗎？,0
LQA-5-7,可以[Mask]嗎？,0
LQA-5-8,有冷氣[Mask]？,0
LQA-5-9,有[Mask]嗎？,0
LQA-5-10,有[Mask]嗎？,0
LQA-5-11,[Mask]訂位嗎？,0
LQA-5-12,有外[Mask]嗎？,0
LQA-5-13,[Mask]Foodpand嗎,0
LQA-0-1,[Mask]喜得,0
LQA-1-1,打招呼[Mask],0
LQA-2-1,你們加盟金[Mask],0
